CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[231/822] 3,300,000,000,000,000,000-3,310,000,000,000,000,000 | 34.0s | found=0 total=0 | elapsed=34.0s ETA=1min 1.1%
[232/822] 3,310,000,000,000,000,000-3,320,000,000,000,000,000 | 16.2s | found=0 total=0 | elapsed=50.0s ETA=2min -1.1%
[233/822] 3,320,000,000,000,000,000-3,330,000,000,000,000,000 | 16.1s | found=0 total=0 | elapsed=66.0s ETA=3min -0.9%
[234/822] 3,330,000,000,000,000,000-3,340,000,000,000,000,000 | 16.4s | found=0 total=0 | elapsed=83.0s ETA=3min -0.8%
[235/822] 3,340,000,000,000,000,000-3,350,000,000,000,000,000 | 16.3s | found=0 total=0 | elapsed=99.0s ETA=4min -0.7%
[236/822] 3,350,000,000,000,000,000-3,360,000,000,000,000,000 | 16.9s | found=0 total=0 | elapsed=116.0s ETA=5min -0.6%
[237/822] 3,360,000,000,000,000,000-3,370,000,000,000,000,000 | 16.7s | found=0 total=0 | elapsed=133.0s ETA=5min -0.5%
[238/822] 3,370,000,000,000,000,000-3,380,000,000,000,000,000 | 16.5s | found=0 total=0 | elapsed=149.0s ETA=6min -0.3%
[239/822] 3,380,000,000,000,000,000-3,390,000,000,000,000,000 | 17.3s | found=0 total=0 | elapsed=166.0s ETA=7min -0.2%
CC15 sieve: wheel=14552571002970 residues=28664064 efficiency=507693
[231/822] 3,300,000,000,000,000,000-3,310,000,000,000,000,000 | 32.0s | found=0 total=0 | elapsed=32.0s ETA=1min 1.1%
[232/822] 3,310,000,000,000,000,000-3,320,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=48.0s ETA=2min -1.1%
[233/822] 3,320,000,000,000,000,000-3,330,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=64.0s ETA=3min -0.9%
[234/822] 3,330,000,000,000,000,000-3,340,000,000,000,000,000 | 15.8s | found=0 total=0 | elapsed=79.0s ETA=3min -0.8%
[235/822] 3,340,000,000,000,000,000-3,350,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=95.0s ETA=4min -0.7%
[236/822] 3,350,000,000,000,000,000-3,360,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=110.0s ETA=5min -0.6%
[237/822] 3,360,000,000,000,000,000-3,370,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=125.0s ETA=5min -0.5%
[238/822] 3,370,000,000,000,000,000-3,380,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=140.0s ETA=6min -0.3%
[239/822] 3,380,000,000,000,000,000-3,390,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=155.0s ETA=6min -0.2%
[240/822] 3,390,000,000,000,000,000-3,400,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=170.0s ETA=7min -0.1%
[241/822] 3,400,000,000,000,000,000-3,410,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=185.0s ETA=7min 0.0%
[242/822] 3,410,000,000,000,000,000-3,420,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=201.0s ETA=8min 0.1%
[243/822] 3,420,000,000,000,000,000-3,430,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=216.0s ETA=9min 0.3%
[244/822] 3,430,000,000,000,000,000-3,440,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=231.0s ETA=9min 0.4%
[245/822] 3,440,000,000,000,000,000-3,450,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=246.0s ETA=10min 0.5%
[246/822] 3,450,000,000,000,000,000-3,460,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=261.0s ETA=10min 0.6%
[247/822] 3,460,000,000,000,000,000-3,470,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=276.0s ETA=11min 0.8%
[248/822] 3,470,000,000,000,000,000-3,480,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=291.0s ETA=11min 0.9%
[249/822] 3,480,000,000,000,000,000-3,490,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=306.0s ETA=12min 1.0%
[250/822] 3,490,000,000,000,000,000-3,500,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=321.0s ETA=12min 1.1%
[251/822] 3,500,000,000,000,000,000-3,510,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=337.0s ETA=13min -1.0%
[252/822] 3,510,000,000,000,000,000-3,520,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=352.0s ETA=13min -0.9%
[253/822] 3,520,000,000,000,000,000-3,530,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=367.0s ETA=14min -0.8%
[254/822] 3,530,000,000,000,000,000-3,540,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=382.0s ETA=14min -0.6%
[255/822] 3,540,000,000,000,000,000-3,550,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=397.0s ETA=15min -0.5%
[256/822] 3,550,000,000,000,000,000-3,560,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=412.0s ETA=15min -0.4%
[257/822] 3,560,000,000,000,000,000-3,570,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=427.0s ETA=16min -0.3%
[258/822] 3,570,000,000,000,000,000-3,580,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=442.0s ETA=16min -0.2%
[259/822] 3,580,000,000,000,000,000-3,590,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=458.0s ETA=17min -0.0%
[260/822] 3,590,000,000,000,000,000-3,600,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=473.0s ETA=17min 0.1%
[261/822] 3,600,000,000,000,000,000-3,610,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=488.0s ETA=17min 0.2%
[262/822] 3,610,000,000,000,000,000-3,620,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=503.0s ETA=18min 0.3%
[263/822] 3,620,000,000,000,000,000-3,630,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=518.0s ETA=18min 0.5%
[264/822] 3,630,000,000,000,000,000-3,640,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=533.0s ETA=19min 0.6%
[265/822] 3,640,000,000,000,000,000-3,650,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=548.0s ETA=19min 0.7%
[266/822] 3,650,000,000,000,000,000-3,660,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=563.0s ETA=20min 0.8%
[267/822] 3,660,000,000,000,000,000-3,670,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=579.0s ETA=20min 0.9%
[268/822] 3,670,000,000,000,000,000-3,680,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=594.0s ETA=20min 1.1%
[269/822] 3,680,000,000,000,000,000-3,690,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=609.0s ETA=21min -1.1%
[270/822] 3,690,000,000,000,000,000-3,700,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=624.0s ETA=21min -0.9%
[271/822] 3,700,000,000,000,000,000-3,710,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=639.0s ETA=22min -0.8%
[272/822] 3,710,000,000,000,000,000-3,720,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=654.0s ETA=22min -0.7%
[273/822] 3,720,000,000,000,000,000-3,730,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=669.0s ETA=22min -0.6%
[274/822] 3,730,000,000,000,000,000-3,740,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=684.0s ETA=23min -0.5%
[275/822] 3,740,000,000,000,000,000-3,750,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=700.0s ETA=23min -0.3%
[276/822] 3,750,000,000,000,000,000-3,760,000,000,000,000,000 | 15.2s | found=0 total=0 | elapsed=715.0s ETA=24min -0.2%
[277/822] 3,760,000,000,000,000,000-3,770,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=730.0s ETA=24min -0.1%
[278/822] 3,770,000,000,000,000,000-3,780,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=745.0s ETA=24min 0.0%
[279/822] 3,780,000,000,000,000,000-3,790,000,000,000,000,000 | 15.3s | found=0 total=0 | elapsed=760.0s ETA=25min 0.2%
[280/822] 3,790,000,000,000,000,000-3,800,000,000,000,000,000 | 15.1s | found=0 total=0 | elapsed=775.0s ETA=25min 0.3%
